job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary
Machine Learning Engineer,4,Diploma,14,Technology,Medium,India,Yes,5,97647
Backend Developer,1,PhD,6,Consulting,Large,Sweden,Yes,1,144887
Backend Developer,16,High School,3,Manufacturing,Medium,Canada,No,1,147645
Data Analyst,4,High School,18,Finance,Startup,UK,Hybrid,4,92191
Backend Developer,7,Diploma,8,Retail,Medium,Germany,No,0,113442
Business Analyst,16,Master,11,Technology,Small,Singapore,Hybrid,4,129586
Frontend Developer,13,PhD,1,Telecom,Startup,Netherlands,Yes,5,133616
Backend Developer,18,Master,12,Technology,Large,India,Hybrid,2,123352
AI Engineer,2,PhD,12,Education,Small,Singapore,Yes,5,161817
Business Analyst,14,Master,16,Education,Startup,India,Hybrid,2,81637
Data Scientist,1,PhD,4,Consulting,Startup,Singapore,No,3,120365
Cloud Engineer,13,Bachelor,16,Manufacturing,Medium,Singapore,Yes,4,148912
Product Manager,12,Master,10,Technology,Startup,Remote,No,0,142001
Business Analyst,10,Master,7,Government,Large,Germany,No,3,143297
